province,year,crop_name,area,production,yield,q_cv_group,q_area_coverage,q_n_regions_used,q_n_expected_regions,q_n_missing_regions,q_n_structural_zero_regions,q_source_status,q_apy_incoherent,q_calculated_region
Alessandria,2011,Durum wheat,1861.0,8663.3,4.655185384202041,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2011,Grain maize,25526.0,132736.3,5.2000430933166175,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2011,Soft wheat,34462.0,169633.1,4.922323138529395,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2012,Durum wheat,997.0,1986.5,1.9924774322968908,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2012,Grain maize,29420.0,163783.8,5.567090414683888,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2012,Soft wheat,38175.0,198045.2,5.187824492468893,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2013,Durum wheat,839.0,5705.2,6.8,Alessandria,1.0,1,1,0,0,complete,True,False
Alessandria,2013,Grain maize,24973.0,249730.0,10.0,Alessandria,1.0,1,1,0,0,complete,True,False
Alessandria,2013,Soft wheat,37779.0,256897.2,6.800000000000001,Alessandria,1.0,1,1,0,0,complete,True,False
Alessandria,2014,Durum wheat,855.0,4275.0,5.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2014,Grain maize,25993.0,246933.5,9.5,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2014,Soft wheat,33989.0,197136.2,5.800000000000001,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2015,Durum wheat,1667.0,6668.0,4.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2015,Grain maize,23272.0,232722.3,10.000098831213474,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2015,Soft wheat,32747.0,130988.0,4.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2016,Durum wheat,2558.0,14069.0,5.5,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2016,Grain maize,22490.0,226846.4,10.086545131169409,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2016,Soft wheat,35204.0,228826.0,6.5,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2017,Durum wheat,1740.0,6960.0,4.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2017,Grain maize,20017.0,140119.0,7.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2017,Soft wheat,33522.0,151000.0,4.504504504504505,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2018,Durum wheat,2178.0,6543.0,3.0041322314049586,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2018,Grain maize,17298.0,155682.0,9.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2018,Soft wheat,31943.0,111800.5,3.5,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2019,Durum wheat,1335.0,7849.4,5.879700374531835,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2019,Grain maize,17502.0,190000.0,10.855902182607702,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2019,Soft wheat,28269.0,169615.4,6.000049524213803,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2020,Durum wheat,1889.0,7556.0,4.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2020,Grain maize,18689.0,233612.5,12.5,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2020,Soft wheat,22169.0,99760.5,4.5,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2021,Durum wheat,1728.0,6912.0,4.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2021,Grain maize,16521.0,206512.5,12.5,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2021,Soft wheat,32757.0,146996.5,4.487483591293464,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2022,Durum wheat,2022.0,6066.0,3.0,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2022,Grain maize,15990.0,157501.5,9.85,Alessandria,1.0,1,1,0,0,complete,False,False
Alessandria,2022,Soft wheat,31515.0,109042.0,3.4600031730921783,Alessandria,1.0,1,1,0,0,complete,False,False
Ancona,1995,Durum wheat,47394.0,168876.6,3.563248512469933,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1995,Grain maize,2772.0,24553.0,8.857503607503608,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1995,Soft wheat,5927.0,23040.4,3.887362915471571,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1996,Durum wheat,48112.0,193953.0,4.031281177253076,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1996,Grain maize,3083.0,29302.5,9.50454103146286,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1996,Soft wheat,4926.0,20511.7,4.16396670726756,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1997,Durum wheat,47028.0,211551.2,4.498409458195118,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1997,Grain maize,3234.0,28392.1,8.779251700680271,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1997,Soft wheat,4521.0,18847.7,4.168922804689228,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1998,Durum wheat,47329.0,228699.7,4.832126180565827,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1998,Grain maize,3245.0,28775.0,8.86748844375963,Ancona,1.0,1,1,0,0,complete,True,False
Ancona,1998,Soft wheat,5837.0,28154.4,4.823436696933356,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1999,Durum wheat,51974.0,222406.6,4.279189594797399,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1999,Grain maize,3187.0,28775.0,9.028867273297772,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,1999,Soft wheat,4229.0,16582.9,3.9212343343580045,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2000,Durum wheat,48611.0,211603.5,4.352996235419966,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2000,Grain maize,3063.0,22711.0,7.414626183480248,Ancona,1.0,1,1,0,0,complete,False,False
Ancona,2000,Soft wheat,4300.0,16800.0,3.9069767441860463,Ancona,1.0,1,1,0,0,complete,False,False
